"file_path","ear_tag","date","full_text","corrupt"
"Cohort 4/Baseline/8April2023 Group 8 Batch 3/8April2023Group8batch3/top/IMG_3420.JPG",5821,2023-04-08,"</s>5821
DATE:
8APPR203
LEV-0001 - Group 8
HSC mock - TX
Female","False"
"Cohort 4/Baseline/8April2023 Group 8 Batch 3/8April2023Group8batch3/top/IMG_3419.JPG",5821,2023-04-08,"</s>5821
DATE: 8APPR203
LEV-0001 - Group 8
HSC mock - TX
Female","False"
"Cohort 4/Baseline/10April2023 Group 8 batch 3 redos and more/10AprilBatch3Side/IMG_4905.JPG",5764,2023-04-10,"</s>5764
DATE: 10APR200
LEV-C
Ai
04/10/2023","False"
"Cohort 4/Baseline/14April2023 Extras REDO/14Apr2023 Extras redo/IMG_4173.JPG",5980,2023-04-14,"</s>5980
DATE : 14APR202023
LEV-0001
Extra
Female","False"
"Cohort 4/Baseline/14April2023 Extras REDO/14Apr2023 Extras redo/IMG_4176.JPG",5980,2023-04-14,"</s>5980
DATE: 14APR202023
LEV-0001
Extra
Female","False"
"Cohort 4/Baseline/14April2023 Extras REDO/14Apr2023 Extras redo/IMG_4177.JPG",5980,2023-04-14,"</s>5980
DATE: 14APR202023
LEV-0001
Extra
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Top/IMG_5293.JPG",5365,2023-08-31,"</s>5365
31AUG2023
DATE: 31AUG202
LEV-001 - Group 3
HSC + mock control
Female",
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Side/IMG_0316.JPG",5465,2023-08-31,"</s>5465
DATE:
31AUG2021
LEV-0001 - Group 2
HSC + 3 mock control
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Side/IMG_0307.JPG",5481,2023-08-31,"</s>5481
31AUG20
DATE:
LEV-0001 - Group
HSC + 3 naive con
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Side/IMG_0306.JPG",5481,2023-08-31,"</s>5481
31AUG20
DATE:
LEV-0001 - Ground
HSC + 3 naive con
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Side/IMG_0240.JPG",5267,2023-08-31,"</s>5267
DATE:
31AUG2021
EV-0001 - Group 3
HSC + 3 naive control
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Side/IMG_0308.JPG",5481,2023-08-31,"</s>5481
DATE:
31AUG20
LEV-0001 - Group
HSC + 3 naive con
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Side/IMG_0241.JPG",5267,2023-08-31,"</s>5267
DATE:
31AUG2021
LEV-0001 - Group 3
HSC + 3 naive control
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Side/IMG_0243.JPG",5267,2023-08-31,"</s>5267
DATE:
31AUG2021
LEV-0001 - Group 3
HSC + 3 naive control
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Side/IMG_0242.JPG",5267,2023-08-31,"</s>5267
DATE:
31AUG2021
LEV-0001 - Group 3
HSC + 3 naive control
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Side/IMG_0252.JPG",5266,2023-08-31,"</s>5266
31AUG2021
DATE:
LEV-0001 - Group 3
HSC + 3 naive control
Female","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Females Top/IMG_5495.JPG",5706,2023-09-07,"</s>5706
07SEP2003
DATE:
LEV-0001 - Group 7
Diet nave, 3 TX
Female","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Females Top/IMG_5454.JPG",5378,2023-09-07,"</s>5378
07SEP203
DATE:
LEV-0001 - Group 7
Diet mock, 3 TX
Female","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Females Top/IMG_5455.JPG",5678,2023-09-07,"</s>5678
07SEP203
DATE:
LEV-0001 - Group 7
Diet mock, 3 TX
Female","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Females Top/IMG_5451.JPG",5678,2023-09-07,"</s>5678
07SEP203
DATE:
LEV-0001 - Group 7
Diet mock, 3 TX
Female","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Females Top/IMG_5452.JPG",5678,2023-09-07,"</s>5678
07SEP203
DATE:
LEV-0001 - Group 7
Diet mock, 3 TX
Female","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Females Top/IMG_5453.JPG",5678,2023-09-07,"</s>5678
07SEP203
DATE:
LEV-0001 - Group 7
Diet mock, 3 TX
Female","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Females Top/IMG_5438.JPG",5606,2023-09-07,"</s>5606
07SEP203
DATE:
LEV-0001 - Group 7
Diet mock, 3 TX
Female","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Females Side/IMG_0375.JPG",5568,2023-09-07,"</s>5568
07SEP2021
DATE:
LEV-0001 - Group
Diet mock, 3 T
Female","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Females Side/IMG_0462.JPG",5707,2023-09-07,"</s>5707
07SEP2021
DATE:
LEV-0001 - Group P
Diet naive, 3 TX
Female","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Females Side/IMG_0463.JPG",5707,2023-09-07,"</s>5707
07SEP2021
DATE:
LEV-0001 - Group of
Diet naive, 3 TX
Female","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Females Side/IMG_0397.JPG",5607,2023-09-07,"</s>5607
07SEP2020
DATE:
LEV-0001 - Group
Diet mock, 3 TXx
Female","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Females Side/IMG_0396.JPG",5607,2023-09-07,"</s>5607
07SEP2020
DATE:
LEV-0001 - Group
Diet mock, 3 TX
Female","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Males Top/IMG_5591.JPG",5633,2023-09-22,"</s>5633
22SEP202
DATE:
LEV-0001 - Group 7
Diet naive, 3 TX
Male","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Males Top/IMG_5590.JPG",5633,2023-09-22,"</s>5633
DATE:
22SEP202
LEV-0001 - Group 7
Diet naive, 3 TX
Male","False"
"Cohort 2/Cull Point 1/Group 4 Cull 1/Group 4 Males/Group 4 Males Top/IMG_6101.JPG",5235,2023-10-08,"</s>5235
08OCT2023
DATE: 08OCT20123
LEV-0001 - Group 4
Navitoclax - 3 mock controls
Male",
"Cohort 2/Cull Point 1/Group 4 Cull 1/Group 4 Males/Group 4 Males Top/IMG_5973.JPG",5310,2023-10-08,"</s>5310
08OCT2023
DATE: 08OCT201. Group 4
LEV+0001. Group4
Navitoclast + 3 nave controls
Male",
"Cohort 2/Cull Point 2/Group 5 Cull 2/Group 5 Males/Top/IMG_5890.JPG",5425,2023-10-08,"</s>5425
08OCT2023
DATE: 08OCT20123
LEV-0001 - Group 5
AAV navive - 3 treatments
Male",
"Cohort 2/Cull Point 2/Group 5 Cull 2/Group 5 Males/Top/IMG_5884.JPG",5234,2023-10-08,"</s>5234
08OCT2023
DATE: 08OCT202023
LEV-0001 - Group 5
AAV naive + 3 treatments
Male",
"Cohort 2/Cull Point 2/Group 5 Cull 2/Group 5 Males/Top/IMG_5891.JPG",5425,2023-10-08,"</s>5425
08OCT2023
DATE: 08OCT20123
LEV-0001 - Group 5
AAV naive - 3 treatments
Male",
"Cohort 2/Cull Point 2/Group 5 Cull 2/Group 5 Males/Top/IMG_5892.JPG",5425,2023-10-08,"</s>5425
08OCT2023
DATE: 08OCT20123
LEV-0001 - Group 5
AAV naive + 3 treatments
Male",
"Cohort 2/Cull Point 2/Group 5 Cull 2/Group 5 Males/Top/IMG_5936.JPG",5229,2023-10-08,"</s>5229
08OCT2023
DATE: 08OCT20123
LEV-0001 - Group 5
AAV mock 3 treatments
Male",
"Cohort 2/Cull Point 1/Group 3 Cull 1/Males Top/IMG_7033.JPG",5210,2023-11-26,"</s>5210
26NOV2023
RATE: 26NOV202023
LEV-00011 - Group 3
HSC + 3 nave control
Male",
"Cohort 2/Cull Point 2/Group 3 Cull 2/Group 3 Females/Top/IMG_6943.JPG",5268,2023-11-26,"</s>5268
26NOV2023
DATE: 26NOV202023
LEV-0001 - Group 3
HSC + 3 nave control
Female",
"Cohort 2/Cull Point 2/Group 3 Cull 2/Group 3 Females/Top/IMG_6946.JPG",5668,2023-11-26,"</s>5668
26NOV2023
DATE: 26NOV202023
LEV-0001 - Group 3
HSC + 3 nave control
Female",
"Cohort 1/Cull Point 1/Group 2 Cull 1/Females - Top/IMG_7094.JPG",5103,2023-11-26,"</s>5103
26NOV2023
DATE: 26NOV2020
Group 2
+ diet, 3 nave controls
Female",
"Cohort 1/Baseline/G1 Females Naive/Top (2).JPG",5064,2023-02-23,"</s>5064
DATE:
22FEB223
Group 1
all naive controls
Female","False"
"Cohort 1/Baseline/G1 Females Mock/5087 Side.JPG",5087,2023-02-22,"</s>5087
DATE:
22FEB2022
Group 1
all mock controls
Female
02/22/2023","False"
"Cohort 1/Baseline/G1 Males Naive/Top (3).JPG",5004,2023-02-23,"</s>5004
DATE:
23FEB2022
Group 1
all naive controls
Male","False"
"Cohort 1/Baseline/G1 Males Naive/Batch 2 Top (9).JPG",5017,2023-02-24,"</s>5017
DATE:
24FEB2022
Group 1
all naive controls
Male","False"
"Cohort 1/Baseline/G1 Females Naive/Top (6).JPG",5064,2023-02-23,"</s>5064
DATE:
24FEP223
Group 1
all naive controls
Female","False"
"Cohort 1/Baseline/G2 Females Naive/Top (1).JPG",5104,2023-02-24,"</s>5104
24FEB2022
DATE:
Group 2
+ diet, 3 naive controls
Female","False"
"Cohort 1/Baseline/27FEB2023/Top/IMG_0711.JPG",5092,2023-02-27,"</s>5092
DATE: 27FEB2022
Group 1
all naive controls
Female","False"
"Cohort 1/Baseline/27FEB2023/Top/IMG_0712.JPG",5092,2023-02-27,"</s>5092
DATE: 27FEED2022
Group 1
all naive controls
Female","False"
"Cohort 1/Baseline/27FEB2023/Top/IMG_0724.JPG",5090,2023-02-27,"</s>5090
DATE:
27FEB2223
Group 1
all naive controls
Female","False"
"Cohort 1/Baseline/27FEB2023/Top/IMG_0719.JPG",5089,2023-02-27,"</s>5089
DATE:
27FEB2022
Group 1
all naive controls
Female","False"
"Cohort 1/Baseline/27FEB2023/Top/IMG_0723.JPG",5090,2023-02-27,"</s>5090
DATE: 27FEB2223
Group 1
all naive controls
Female","False"
"Cohort 1/Baseline/G2 Males Mock/Batch 4/Wrong Date Tags/5116 side.JPG",5116,2023-02-27,"</s>5116
DATE: 27 Febo2022
Group 2
+ diet, 3 mock controls
Male
02/27/2023","False"
"Cohort 1/Baseline/01MAR2023-CMF/TOP/IMG_0880.JPG",5143,2023-03-01,"</s>5143
01MAR22023
DATE:
Group 1
all mock controls
Male","False"
"Cohort 1/Baseline/01MAR2023-CMF/TOP/IMG_0870.JPG",6041,2023-03-01,"</s>6041
01MAR2203
DATE:
Group 1
all naive controls
Male","False"
"Cohort 1/Baseline/01MAR2023-CMF/TOP/IMG_0872.JPG",6043,2023-03-01,"</s>6043
DATE: 01MAR2223
Group 1
all mock controls
Male","False"
"Cohort 2/Baseline/09MAR2023/Pictures (side)/pictures side/IMG_1575.JPG",5454,2023-03-09,"</s>5454
DATE:
09MAR2022
LEV-0001 - Group 3
HSC + 3 mock control
Male
03/09/2023","False"
"Cohort 2/Baseline/10MAR2023 - TOP/10MAR2023_TOP/IMG_1525.JPG",5277,2023-03-10,"</s>5277
DATE: 10MAR2022
LEV-0001 + Group 5
AVA naive + 3 treatments
Female","False"
"Cohort 2/Baseline/10MAR2023 - TOP/10MAR2023_TOP/IMG_1527.JPG",5277,2023-03-10,"</s>5277
DATE: 10MAR2022
LEV-001 + Group 5
AAV nave + 3 treatments
Female","False"
"Cohort 2/Baseline/10MAR2023 - TOP/10MAR2023_TOP/IMG_1526.JPG",5277,2023-03-10,"</s>5277
DATE: 10MAR2022
LEV-0001 - Group 5
AAV navive + 3 treatments
Female","False"
"Cohort 2/Baseline/10MAR2023 - TOP/10MAR2023_TOP/IMG_1528.JPG",5277,2023-03-10,"</s>5277
DATE: 10MAR2022
LEV-001 - Group 5
AAV nave + 3 treatments
Female","False"
"Cohort 2/Baseline/10MAR2023 - TOP/10MAR2023_TOP/IMG_1529.JPG",5277,2023-03-10,"</s>5277
DATE: 10MAR2022
LEV-001 - Group 5
AVA navé + 3 treatments
Female","False"
"Cohort 2/Baseline/13MAR23/Top/IMG_1751.JPG",5467,2023-03-13,"</s>5467
13MAR2022
DATE:
LEV-0001-Group 3
HSC-3 mock control
Female","False"
"Cohort 2/Baseline/13MAR23/Top/IMG_1752.JPG",5467,2023-03-13,"</s>5467
13MAR2022
DATE:
LEV-0001 - Group 3
HSC-3 mock control
Female","False"
"Cohort 2/Baseline/13MAR23/Top/IMG_1754.JPG",5467,2023-03-13,"</s>5467
13MAR2022
DATE:
LEV-0001 - Group 3
HSC+3 mock control
Female","False"
"Cohort 2/Baseline/14MAR23/Batch 5/Side/IMG_2409.JPG",5392,2023-03-14,"</s>5392
14MAR2223
DATE:
LEV-0001 - Grou 5
AAV naive + 3 treatments
Female
03/14/2023","False"
"Cohort 3/Baseline/21 MAR Group 6 and 7 batch 3/top/IMG_2374.JPG",5601,2023-03-21,"</s>5601
21MAR2223
DATE:
LEV-0001 - Group 6
*AAV, 3 mock
Female","False"
"Cohort 3/Baseline/22MAR2023 mostly retakes/IMG_2467.JPG",5604,2023-03-22,"</s>5604
22MAP2023
DATE: 22MAP2022
LEV-0001 - Group 6
+AAV, 3 mock
Female",
"Cohort 4/Baseline/5APR2023 - Groups 9 & 10 - Batch 1/Top/IMG_2981.JPG",5942,2023-04-05,"</s>5942
05APR2022
DATE:
LEV-0001 - Group 10
All Treatments
Male","False"
"Cohort 4/Baseline/11April2023Batch 4/11AprBatch4SIDE/IMG_5117.JPG",5997,2023-04-11,"</s>5997
DATE: 11APR2223
LEV-0001 - Group 9
Senolytic mock - 3 TX
Female
04/11/2023","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Top/IMG_5383.JPG",5491,2023-08-31,"</s>5491
31AUG2223
DATE:
LEV-0001 - Group 3
HSC + 3 mock control
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Top/IMG_5364.JPG",5402,2023-08-31,"</s>5402
31AUG2223
DATE:
LEV-00011 - Group 3
HSC + 3 mock control
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Top/IMG_5361.JPG",5403,2023-08-31,"</s>5403
31AUG2223
DATE:
LEV-0001 - Group 3
HSC + 3 mock control
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Top/IMG_5362.JPG",5403,2023-08-31,"</s>5403
31AUG2223
DATE:
LEV-0001 - Group 3
HSC + 3 mock control
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Side/IMG_0304.JPG",5481,2023-08-31,"</s>5481
31AUG2022
DATE:
LEV-0001 - Group 3
HSC + 3 naive control
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Side/IMG_0234.JPG",5269,2023-08-31,"</s>5269
31AUG2022
DATE:
LEV-0001 - Group 3
HSC + 3 naive control
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/Females Side/IMG_0233.JPG",5269,2023-08-31,"</s>5269
31AUG2022
DATE:
LEV-0001 - Group 3
HSC + 3 naive control
Female","False"
"Cohort 2/Cull Point 1/Group 3 Cull 1/5273 Retakes/5273 Top.JPG",5273,2023-09-02,"</s>5273
DATE: 02SEP2022
LEV-00011 - Group 3
HSC + 3 naive control .
Female","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Females Top/IMG_5509.JPG",5700,2023-09-07,"</s> 5700
DATE: 07SEP2023
LEV-0001 – Group 7
Diet naive, 3 TX
Female",
"Cohort 3/Cull Point 1/Group 7 Cull 1/Females Top/IMG_5510.JPG",5700,2023-09-07,"</s>5700
07SEP2023
LEV-0001 - Group 7
Diet naive, 3 TX
Female",
"Cohort 3/Cull Point 1/Group 7 Cull 1/Males Top/IMG_5569.JPG",5649,2023-09-22,"</s>5649
5
5649
22SEP2022
DATE:
LEV-0001 - Group 7
Diet naive, 3 TX
Male","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Males Top/IMG_5575.JPG",5528,2023-09-22,"</s>5528
22SEP2022
DATE:
LEV-0001 - Group 7
Diet naive, 3 TX
Male","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Males Top/IMG_5574.JPG",5528,2023-09-22,"</s>5528
22SEP2022
DATE:
LEV-0001 - Group 7
Diet naive, 3 TX
Male","False"
"Cohort 3/Cull Point 1/Group 7 Cull 1/Males Top/IMG_5576.JPG",5528,2023-09-22,"</s>5528
22SEP2022
DATE:
LEV-0001 - Group 7
Diet naive, 3 TX
Male","False"
"Cohort 3/Cull Point 1/Group 6 Cull 1/males/Top/IMG_6394.JPG",5549,2023-10-01,"</s>5549
DATE: 1OCT2222
EV-0001 - Group 6
*AVAV, 3 nalve
Male","False"
"Cohort 1/Baseline/G1 Males Naive/Top (18).JPG",5114,2023-02-02,"</s>5114
DATE:
2FEP2323
Group 1
all naive controls
Male",
"Cohort 1/Baseline/G1 Females Naive/side (33).JPG",5064,2023-02-02,"</s>5064
DATE:
2FEB2023
Group 1
all naive controls
Female
02/23/2023",
"Cohort 1/Baseline/G1 Females Naive/side (32).JPG",5064,2023-02-02,"</s>5064
DATE:
2FEED2023
Group 1
all naive controls
Female
02/23/2023",
"Cohort 1/Baseline/G1 Females Mock/sort (32).JPG",5175,2023-02-02,"</s>5175
DATE:
2FEB2023
Group 1
all mock controls
Female",
"Cohort 1/Baseline/G1 Females Mock/5180 Top.JPG",5180,2023-02-02,"</s>5180
DATE: 2FEB2023
Group 1
all mock controls
Female",
"Cohort 1/Baseline/G1 Females Mock/sort (15).JPG",5177,2023-02-02,"</s>5177
DATE:
2FEB2023
Group 1
all mock controls
Female",
"Cohort 1/Baseline/G1 Females Mock/IMG_0027.JPG",5080,2023-02-02,"</s>5080
2/FEB2023
DATE:
Group 1
all mock controls
Female",
"Cohort 1/Baseline/G1 Females Mock/IMG_0026.JPG",5080,2023-02-02,"</s>5080
2/FEB2023
DATE:
Group 1
all mock controls
Female",
"Cohort 1/Baseline/G1 Females Mock/IMG_0030.JPG",5082,2023-02-02,"</s>5082
2/FEB2023
DATE:
Group 1
all mock controls
Female",
"Cohort 1/Baseline/G2 Females Naive/Batch 2/Batch 2 Top (6).JPG",5059,2023-02-04,"</s>5059
DATE:
4FEB2023
Group 2
+ diet, 3 inive controls
Female",
"Cohort 4/Cull Point 1/Group 8/Males/Top/IMG_8224.JPG",6055,2023-02-06,"</s>6055
06FEB2023
DATE:
LEV-0001 - Group 8
HSC mock - 3 X
Male",
"Cohort 4/Cull Point 1/Group 8/Males/Top/IMG_8225.JPG",6055,2023-02-06,"</s>6055
DATE: 06FEB2023
1-0001-Group 8
HSC mock - 3 X
Male",
"Cohort 4/Cull Point 1/Group 8/Males/Top/IMG_8223.JPG",6055,2023-02-06,"</s>6055
06FEB2023
DATE:
LV-0001 - Group 8
HSC mock - 3x
Male",
"Cohort 1/Baseline/G1 Males Naive/Side (11).JPG",5005,2023-02-20,"</s>5005
DATE:
20FEB2023
Group 1
all naive controls
Male
02/23/2023",
"Cohort 1/Baseline/G1 Males Naive/Side (30).JPG",5115,2023-02-20,"</s>5115
DATE:
20FEB2023
Group 1
all naive controls
Male
02/23/2023",
"Cohort 1/Baseline/G1 Females Naive/side (31).JPG",5064,2023-02-20,"</s>5064
DATE:
20FEB2023
Group 1
all naive controls
Female
02/23/2023",
"Cohort 1/Baseline/G1 Females Naive/side (21).JPG",5065,2023-02-20,"</s>5065
DATE:
20FFB2023
Group 1
all naive controls
Female
02/23/2023",
"Cohort 1/Baseline/G1 Females Naive/side (38).JPG",5063,2023-02-20,"</s>5063
DATE:
20FEB2023
Group 1
all naïve controls
Female
02/23/2023",
"Cohort 1/Baseline/G1 Females Mock/IMG_0014.JPG",5081,2023-02-21,"</s>5081
DATE:
21FEB2023
Group 1
all mock controls
Female
02/21/2023",
"Cohort 1/Baseline/G1 Females Mock/IMG_0028.JPG",5081,2023-02-21,"</s>5081
21FEB2023
DATE:
Group 1
all mock controls
Female",
"Cohort 1/Baseline/G1 Females Mock/IMG_0029.JPG",5081,2023-02-21,"</s>5081
DATE:
21FEB2023
Group 1
all mock controls
Female",
"Cohort 1/Baseline/G1 Females Mock/IMG_0015.JPG",5082,2023-02-21,"</s>5082
DATE:
21FEB2023
Group 1
all mock controls
Female
02/21/2023",
"Cohort 1/Baseline/G1 Females Mock/IMG_0016.JPG",5082,2023-02-21,"</s>5082
DATE:
21FEB2023
Group 1
all mock controls
Female
02/21/2023",
"Cohort 1/Baseline/G1 Females Mock/IMG_0012.JPG",5080,2023-02-21,"</s>5080
DATE:
21FEB2023
Group 1
all mock controls
Female
02/21/2023",
"Cohort 1/Baseline/G1 Females Mock/IMG_0011.JPG",5080,2023-02-21,"</s>5080
DATE:
21FEB2023
Group 1
all mock controls
Female
02/21/2023",
"Cohort 1/Baseline/G1 Females Mock/IMG_0005.JPG",5078,2023-02-21,"</s>5078
DATE:
21FEB2023
Group 1
all mock controls
Female
02/21/2023",
"Cohort 1/Baseline/G1 Females Mock/IMG_0004.JPG",5078,2023-02-21,"</s>5078
DATE:
21 FEB2023
Group 1
I mock controls
Female
02/21/2023",
"Cohort 1/Baseline/G1 Females Mock/IMG_0010.JPG",5079,2023-02-21,"</s>5079
DATE:
21FEB2023
Group 1
all mock controls
Female
02/21/2023",
"Cohort 1/Baseline/G1 Females Mock/IMG_0033.JPG",5078,2023-02-21,"</s>5078
DATE: 21FEB2023
Group 1
all mock controls
Female",
"Cohort 1/Baseline/G1 Females Mock/IMG_0032.JPG",5082,2023-02-21,"</s>5082
DATE:
21FEB2023
Group 1
all mock controls
Female",
"Cohort 1/Baseline/G1 Males Naive/Side (1).JPG",5004,2023-02-22,"</s>5004
DATE:
22FEB2023
Group 1
all naive controls
Male
02/23/2023",
"Cohort 1/Baseline/G1 Males Naive/Side (17).JPG",5113,2023-02-22,"</s>5113
DATE:
22FEB2023
Group 1
all naive controls
Male
02/23/2023",
"Cohort 1/Baseline/G1 Males Naive/Side (16).JPG",5113,2023-02-22,"</s>5113
DATE:
22FED2023
Group 1
all naive controls
Male
02/23/2023",
"Cohort 1/Baseline/G1 Males Naive/Side (4).JPG",5004,2023-02-22,"</s>5004
DATE:
22FED2023
Group 1
all naïve controls
Male
02/23/2023",
